Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,4.7n,C_0402_1005Metric,125.98,-90.9,0,top
C102,1n,C_0402_1005Metric,104.12,-146.5,0,top
C103,1n,C_0402_1005Metric,114.92,-126.8,180,top
C104,0.1u,C_0402_1005Metric,112.32,-137.9,0,top
C105,0.1u,C_0402_1005Metric,112.3,-126.82,180,top
C106,0.1u,C_0402_1005Metric,106.7,-84.5,0,top
C107,0.1u,C_0402_1005Metric,101.12,-91.1,0,top
C108,0.1u,C_0402_1005Metric,129.58,-84.4,180,top
C109,0.1u,C_0402_1005Metric,124.02,-90.9,180,top
C110,0.1u,C_0402_1005Metric,108.78,-139.3,180,top
C111,0.1u,C_0402_1005Metric,101.22,-144.5,180,top
C112,470n,C_0402_1005Metric,110.48,-101.3,0,top
C113,0.1u,C_0402_1005Metric,129.62,-101.4,180,top
C114,0.1u,C_0402_1005Metric,124.22,-108,180,top
C115,10u,C_0402_1005Metric,106.5,-110.78,270,top
C116,10u,C_0402_1005Metric,106.5,-119.92,270,top
C117,0.1u,C_0402_1005Metric,108.22,-167.5,180,top
Q102,NST45010MW6T1G,SOT-363_SC-70-6_Handsoldering,126.23,-117.4,0,top
R101,100k,R_0402_1005Metric,128.99,-143.6,0,top
R102,100k,R_0402_1005Metric,128.99,-145.2,0,top
R103,100k,R_0402_1005Metric,115.99,-125.7,180,top
R104,100k,R_0402_1005Metric,106.69,-91.1,180,top
R105,100k,R_0402_1005Metric,113.59,-84.3,180,top
R106,100k,R_0402_1005Metric,111.59,-84.3,180,top
R107,100k,R_0402_1005Metric,104.61,-91.1,0,top
R108,1.5k,R_0402_1005Metric,108.19,-168.6,0,top
R109,4.7k,R_0402_1005Metric,123.9,-111.51,90,top
R110,470k,R_0402_1005Metric,127.91,-90.9,180,top
R111,4.7k,R_0402_1005Metric,101.19,-84.5,180,top
R112,220,R_0402_1005Metric,102.11,-131.1,180,top
R113,220,R_0402_1005Metric,128.99,-141.8,0,top
R114,10k,R_0402_1005Metric,102.09,-127,0,top
R115,10k,R_0402_1005Metric,125.49,-137.9,0,top
R116,10k,R_0402_1005Metric,115.59,-84.3,0,top
R117,4.7k,R_0402_1005Metric,117.69,-84.3,180,top
R118,10k,R_0402_1005Metric,102.11,-128.6,180,top
R119,220,R_0402_1005Metric,119.09,-126.8,0,top
R120,220,R_0402_1005Metric,121.29,-126.8,0,top
R121,47k,R_0402_1005Metric,119.69,-84.3,0,top
R122,10k,R_0402_1005Metric,116.99,-126.8,0,top
R123,10k,R_0402_1005Metric,125.29,-126.8,0,top
R124,100k,R_0402_1005Metric,115.39,-99.3,0,top
R125,100k,R_0402_1005Metric,128.9,-146.7,0,top
R126,100k,R_0402_1005Metric,115.39,-100.5,0,top
R127,1Meg,R_0402_1005Metric,108.41,-102.9,180,top
R128,1Meg,R_0402_1005Metric,108.41,-104.2,180,top
R129,47k,R_0402_1005Metric,108.39,-101.3,0,top
R130,1k,R_0402_1005Metric,108.21,-166.3,0,top
U101,TL072,SOIC-8_3.9x4.9mm_P1.27mm,103.925,-87.805,270,top
U102,TL072,SOIC-8_3.9x4.9mm_P1.27mm,126.825,-87.635,270,top
U104,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,104,-141.2,0,top
U105,TL072,SOIC-8_3.9x4.9mm_P1.27mm,126.9,-104.7,270,top
